EmployeeNumber,Age,Gender,MaritalStatus,Attrition,Department,EducationField,Education,DistanceFromHome,BusinessTravel,Over18,EmployeeCount,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Tenure_Band,NumCompaniesWorked
1469,28,Male,Single,No,Business Development,Medical Sciences,3,5,Occasional Travel,Y,1,6,5,4,1,3,3-5 yrs,0
250,53,Female,Divorced,No,Product & Engineering,Medical Sciences,2,13,Occasional Travel,Y,1,5,4,2,1,3,3-5 yrs,1
1714,24,Male,Married,Yes,People Operations,HR Studies,1,22,Occasional Travel,Y,1,1,1,0,0,0,0-2 yrs,1
86,45,Male,Divorced,No,Product & Engineering,Biological Sciences,3,7,Occasional Travel,Y,1,25,1,0,0,0,0-2 yrs,2
304,36,Male,Single,No,Product & Engineering,Biological Sciences,2,5,Occasional Travel,Y,1,16,13,11,3,7,10+ yrs,8
666,34,Female,Divorced,No,Business Development,Applied Technology,3,14,Occasional Travel,Y,1,8,8,2,0,6,6-10 yrs,1
577,35,Male,Single,No,Product & Engineering,Biological Sciences,3,22,Occasional Travel,Y,1,6,5,4,4,3,3-5 yrs,0
332,39,Female,Divorced,No,Product & Engineering,Medical Sciences,4,1,Occasional Travel,Y,1,7,3,2,1,2,3-5 yrs,7
302,45,Female,Single,No,Business Development,Medical Sciences,3,6,No Travel,Y,1,23,19,7,12,8,10+ yrs,6
63,35,Male,Married,No,Product & Engineering,Biological Sciences,1,8,Occasional Travel,Y,1,1,1,0,0,1,0-2 yrs,1
925,47,Female,Single,No,Business Development,Biological Sciences,4,2,Occasional Travel,Y,1,3,3,2,1,2,3-5 yrs,1
1293,43,Female,Single,No,Business Development,Marketing & Communications,4,4,Occasional Travel,Y,1,23,21,7,15,17,10+ yrs,3
852,44,Male,Single,No,Product & Engineering,Medical Sciences,3,4,Occasional Travel,Y,1,10,5,2,2,3,3-5 yrs,9
483,40,Female,Married,No,Product & Engineering,Biological Sciences,4,10,Occasional Travel,Y,1,10,7,7,1,7,6-10 yrs,3
2007,22,Male,Single,No,Product & Engineering,Biological Sciences,2,1,Occasional Travel,Y,1,4,3,2,1,2,3-5 yrs,0
1745,30,Female,Single,No,Product & Engineering,Applied Technology,4,2,Frequent Travel,Y,1,10,9,7,0,7,6-10 yrs,0
1753,29,Male,Single,No,Product & Engineering,Biological Sciences,3,1,Frequent Travel,Y,1,10,3,2,0,2,3-5 yrs,8
1042,36,Female,Single,Yes,Product & Engineering,Biological Sciences,4,16,Occasional Travel,Y,1,18,17,13,15,14,10+ yrs,1
376,47,Male,Married,Yes,Product & Engineering,Biological Sciences,4,29,No Travel,Y,1,10,10,7,9,9,6-10 yrs,1
1485,34,Male,Divorced,No,Product & Engineering,Medical Sciences,3,15,Frequent Travel,Y,1,16,14,8,6,9,10+ yrs,7
355,31,Male,Single,Yes,Product & Engineering,Medical Sciences,2,29,Frequent Travel,Y,1,6,5,4,1,4,3-5 yrs,0
574,47,Female,Divorced,No,Product & Engineering,Medical Sciences,2,2,Occasional Travel,Y,1,20,5,0,0,4,3-5 yrs,5
1446,32,Male,Married,No,Business Development,Marketing & Communications,5,7,Occasional Travel,Y,1,7,4,3,0,3,3-5 yrs,4
382,38,Female,Divorced,No,Business Development,Medical Sciences,2,7,Occasional Travel,Y,1,8,8,0,7,7,6-10 yrs,1
1560,33,Male,Married,No,Business Development,Biological Sciences,4,8,Occasional Travel,Y,1,8,2,2,2,2,0-2 yrs,2
1578,55,Male,Married,No,Business Development,Marketing & Communications,5,26,Occasional Travel,Y,1,36,36,6,2,13,10+ yrs,1
933,27,Female,Single,No,Product & Engineering,Biological Sciences,3,4,Occasional Travel,Y,1,1,1,1,0,0,0-2 yrs,1
855,33,Male,Divorced,No,Business Development,Medical Sciences,3,1,Occasional Travel,Y,1,9,9,8,0,8,6-10 yrs,1
1475,44,Male,Single,No,Product & Engineering,Biological Sciences,3,20,Occasional Travel,Y,1,6,5,2,1,3,3-5 yrs,1
339,34,Male,Married,No,Product & Engineering,Biological Sciences,4,2,Occasional Travel,Y,1,13,11,9,5,9,10+ yrs,6
1763,30,Male,Married,No,Product & Engineering,Biological Sciences,3,16,Occasional Travel,Y,1,10,7,0,1,7,6-10 yrs,3
1018,26,Male,Married,No,Product & Engineering,Medical Sciences,2,2,Occasional Travel,Y,1,8,8,7,1,3,6-10 yrs,1
807,40,Female,Married,No,Product & Engineering,Medical Sciences,2,2,Frequent Travel,Y,1,8,8,7,3,7,6-10 yrs,1
623,37,Female,Single,No,Product & Engineering,Applied Technology,3,1,Occasional Travel,Y,1,12,6,5,1,2,6-10 yrs,4
1733,36,Male,Divorced,Yes,Business Development,Marketing & Communications,5,13,Occasional Travel,Y,1,16,2,2,2,2,0-2 yrs,5
984,35,Male,Divorced,No,Business Development,Biological Sciences,4,3,Occasional Travel,Y,1,12,10,9,0,8,6-10 yrs,6
1468,40,Male,Divorced,No,Product & Engineering,Medical Sciences,1,8,No Travel,Y,1,16,9,8,4,8,6-10 yrs,2
1210,41,Male,Divorced,Yes,Product & Engineering,Biological Sciences,2,5,No Travel,Y,1,5,1,0,0,0,0-2 yrs,6
65,28,Male,Single,Yes,Product & Engineering,Applied Technology,4,5,Occasional Travel,Y,1,2,2,2,2,2,0-2 yrs,1
1834,28,Female,Married,No,Product & Engineering,Medical Sciences,3,1,Occasional Travel,Y,1,3,3,2,1,2,3-5 yrs,1
230,38,Female,Single,No,Business Development,Biological Sciences,4,1,Occasional Travel,Y,1,12,8,3,0,7,6-10 yrs,4
1548,40,Male,Married,No,Business Development,Medical Sciences,2,9,Occasional Travel,Y,1,9,8,4,7,1,6-10 yrs,0
1574,32,Male,Married,No,Product & Engineering,Applied Technology,4,1,No Travel,Y,1,9,6,5,1,2,6-10 yrs,4
1060,38,Male,Married,No,Product & Engineering,General Studies,4,3,Frequent Travel,Y,1,8,2,2,2,2,0-2 yrs,3
485,33,Female,Single,Yes,Business Development,Marketing & Communications,3,5,Occasional Travel,Y,1,1,1,0,0,0,0-2 yrs,1
361,38,Male,Married,No,Business Development,Biological Sciences,2,2,No Travel,Y,1,13,8,7,7,5,6-10 yrs,3
1318,40,Male,Single,Yes,Business Development,Marketing & Communications,4,25,Occasional Travel,Y,1,9,5,4,1,0,3-5 yrs,2
819,33,Female,Single,Yes,Business Development,Marketing & Communications,3,16,Occasional Travel,Y,1,6,3,2,0,2,3-5 yrs,5
723,50,Male,Married,Yes,Business Development,Applied Technology,2,8,Frequent Travel,Y,1,18,4,3,1,3,3-5 yrs,3
1248,19,Female,Single,Yes,Product & Engineering,Medical Sciences,3,10,No Travel,Y,1,1,1,1,0,0,0-2 yrs,1
