EmployeeNumber,JobRole,JobLevel,OverTime,DailyRate,HourlyRate,MonthlyRate,MonthlyIncome,PercentSalaryHike,StandardHours,StockOptionLevel,TrainingTimesLastYear
1469,Business Development Associate,2,No,866,84,23490,8463,18,80,0,4
250,Operations Director,2,No,1084,57,26250,4450,11,80,2,3
1714,HR Specialist,1,No,240,58,11585,1555,11,80,1,2
86,Product Research Analyst,3,No,1339,59,18787,9724,17,80,1,2
304,Lab Analyst,2,No,1396,62,9945,5914,16,80,0,3
666,Business Development Executive,1,Yes,204,31,2912,2579,18,80,2,3
577,Lab Analyst,1,No,144,46,19225,4230,15,80,0,2
332,Lab Analyst,1,No,1431,96,15417,2232,14,80,3,1
302,Business Development Associate,3,No,1052,57,16840,8865,12,80,0,2
63,Lab Analyst,1,No,1229,36,4892,2269,19,80,0,2
925,Business Development Executive,1,Yes,1454,65,13137,3294,18,80,0,3
1293,Business Development Associate,3,No,531,56,20364,10231,14,80,0,3
852,Client Relations Executive,2,No,625,50,5197,5933,12,80,0,2
483,Lab Analyst,1,Yes,1171,46,22495,2213,13,80,1,3
2007,Product Research Analyst,1,No,581,63,17624,3375,12,80,0,2
1745,Product Research Analyst,1,No,1312,78,26427,4968,16,80,0,2
1753,Client Relations Executive,2,Yes,461,70,23060,6294,12,80,0,5
1042,Lab Analyst,1,No,885,43,8269,2743,16,80,0,1
376,Department Manager,3,Yes,666,88,10268,11849,12,80,1,2
1485,Product Research Lead,4,No,829,71,11929,17007,14,80,2,3
355,Lab Analyst,1,No,307,71,11652,3479,11,80,0,2
574,Operations Director,2,No,983,65,7389,5070,13,80,3,2
1446,Business Development Associate,2,No,601,97,23343,9204,12,80,1,3
382,Business Development Associate,2,Yes,322,44,19191,5605,24,80,1,3
1560,Business Development Associate,2,No,1242,46,10589,6392,13,80,1,6
1578,Department Manager,5,No,685,60,23037,19586,21,80,1,3
933,Product Research Analyst,1,No,618,76,17808,2318,19,80,0,2
855,Business Development Associate,2,No,586,48,21816,4037,22,80,1,5
1475,Product Research Analyst,1,No,1467,49,21158,3420,13,80,0,3
339,Operations Director,2,No,470,84,23687,5957,13,80,1,3
