EmployeeNumber,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,PerformanceRating,RelationshipSatisfaction,WorkLifeBalance
1469,4,3,1,3,4,3
250,4,4,1,3,3,3
1714,4,1,3,3,3,3
86,2,3,1,3,3,3
304,4,3,2,3,4,4
666,3,3,3,3,4,3
577,4,1,3,3,3,3
332,3,3,3,3,3,3
302,4,2,4,3,4,3
63,4,4,4,3,4,3
925,4,2,4,3,1,2
1293,4,2,4,3,4,4
852,4,3,2,3,4,2
483,4,4,3,3,3,3
2007,4,3,3,3,4,4
1745,4,2,1,3,4,3
1753,4,4,3,3,4,4
1042,3,4,1,3,3,3
376,1,3,2,3,4,2
1485,2,3,1,3,4,2
355,3,2,2,3,2,4
574,1,3,4,3,3,3
1446,4,3,4,3,3,2
382,1,4,1,4,3,3
1560,1,3,1,3,4,1
1578,3,2,4,4,3,3
933,2,3,3,3,3,3
855,1,4,1,4,1,3
1475,4,3,2,3,3,2
339,4,2,1,3,2,3
1763,3,4,3,3,3,3
1018,4,4,4,3,2,3
807,3,4,2,4,4,3
623,2,3,4,3,4,4
1733,2,2,1,3,2,3
984,4,3,4,3,2,3
1468,4,2,2,3,3,3
1210,1,2,1,3,1,1
65,3,3,3,3,3,2
1834,3,3,1,4,3,3
230,1,2,4,4,3,4
1548,1,3,1,3,4,4
1574,4,3,1,3,2,2
1060,3,3,3,3,1,3
485,4,3,3,3,2,3
361,4,2,4,3,4,3
1318,4,2,2,3,3,3
819,1,3,1,3,3,3
723,2,3,3,3,1,3
1248,1,2,2,4,2,4
575,1,3,3,3,3,1
423,3,3,4,3,3,3
162,1,3,3,3,3,3
1356,3,3,1,3,4,4
1709,4,3,3,3,3,3
1235,4,3,3,3,4,3
281,3,3,4,3,3,4
1970,4,3,3,4,3,3
757,2,3,3,3,4,3
1633,1,3,3,3,4,1
1744,3,1,3,4,3,4
1079,3,2,1,3,1,2
1459,3,4,2,3,1,3
815,3,3,3,3,4,3
1033,1,1,2,3,1,1
261,2,2,3,3,1,3
458,2,3,2,3,1,3
1885,4,3,1,4,3,3
395,4,3,4,4,4,3
1550,3,3,4,4,4,3
1908,3,2,2,3,3,1
38,2,3,1,3,4,2
656,4,3,3,3,3,2
100,3,2,1,3,2,3
1260,3,3,4,3,2,3
84,4,3,3,3,3,3
1615,3,4,4,3,1,3
808,3,3,1,3,2,3
1237,3,1,1,4,3,3
1321,2,3,1,4,4,3
1201,4,3,3,3,2,3
760,3,4,2,3,3,1
1938,4,3,4,3,3,2
645,2,3,3,3,3,3
1165,4,2,1,3,1,1
1471,3,2,3,3,4,3
1678,4,3,3,3,4,3
665,1,2,3,3,2,4
865,3,4,3,3,3,2
57,3,3,4,4,4,3
77,1,2,3,3,3,4
30,3,3,4,3,4,3
1975,2,3,1,3,1,3
508,3,3,2,3,1,3
152,3,3,4,3,1,3
462,3,3,4,3,3,2
1497,3,2,3,3,3,3
529,2,3,3,3,1,3
1503,3,3,3,3,3,2
580,3,2,4,3,3,3
374,4,3,1,3,3,3
1121,4,3,2,3,2,2
840,3,3,4,3,1,4
1364,3,4,4,3,2,3
1024,3,2,3,3,2,3
1119,3,2,3,3,2,3
487,3,3,3,3,3,4
1853,4,3,4,3,3,4
102,1,3,3,3,1,4
336,3,4,4,3,3,3
1645,1,1,4,3,4,2
1611,3,1,1,3,1,3
947,4,3,3,3,4,2
1084,3,3,1,3,3,2
556,4,3,4,4,3,3
192,3,3,4,3,2,2
91,1,2,3,3,4,2
20,2,4,1,3,3,3
1677,3,3,3,3,1,3
1502,1,2,2,3,4,3
1441,1,3,1,4,4,4
1344,4,3,4,3,4,2
1297,2,2,3,3,2,2
1775,1,2,3,4,4,2
803,1,4,1,3,4,3
566,1,2,4,3,3,4
1240,3,3,4,3,2,3
1127,1,3,4,3,4,3
721,4,2,3,3,1,3
416,2,4,4,3,2,2
1852,4,3,4,3,2,4
1839,2,3,3,3,3,1
573,3,2,1,3,4,4
1101,1,2,3,4,2,3
1177,1,4,4,4,2,3
1377,2,3,3,3,1,3
379,4,2,3,3,1,4
587,1,3,3,3,1,3
470,3,3,3,3,3,3
1005,4,3,3,3,4,3
1286,4,3,3,3,3,2
605,4,3,1,4,4,2
1662,4,2,3,3,3,3
56,4,3,3,3,4,3
1661,3,2,3,3,2,3
1764,2,3,2,3,2,3
450,4,3,3,3,4,2
1279,1,2,3,4,3,1
134,4,3,1,3,4,3
142,3,2,3,3,4,3
420,4,2,3,3,3,2
1457,1,3,4,3,1,4
241,3,3,1,3,3,3
331,4,2,3,3,4,1
1390,1,2,4,3,4,4
538,1,3,1,3,3,3
1749,1,3,3,3,3,3
169,3,3,4,3,3,3
1069,4,3,4,3,4,3
471,3,3,2,3,3,3
1573,3,3,2,3,1,3
621,4,4,4,3,4,3
1845,3,3,3,4,2,4
1674,4,3,1,3,2,2
1696,2,2,4,3,3,4
833,3,2,4,4,2,2
41,4,2,3,3,1,3
1871,4,3,4,3,2,3
569,2,2,3,3,2,3
464,3,3,2,3,4,3
474,3,4,1,3,1,3
1892,1,3,1,3,1,3
2003,4,3,3,3,3,3
1173,4,3,2,4,4,3
439,1,4,4,3,3,2
1541,2,3,3,4,2,3
1580,2,3,4,3,2,2
223,3,4,4,3,2,1
1815,3,3,3,3,4,4
1646,1,3,4,3,3,3
1373,4,3,2,3,1,3
498,2,3,4,3,4,3
319,3,3,4,3,4,3
1525,2,3,2,3,4,3
406,3,3,2,3,3,2
850,4,3,4,3,3,2
1641,3,3,4,3,4,2
491,4,2,4,3,4,3
1821,4,3,2,4,4,4
1097,3,3,3,3,4,4
1822,3,3,4,3,4,3
81,1,3,1,3,4,2
1419,2,2,1,3,1,2
1998,4,3,1,3,3,2
1514,3,1,2,3,2,2
1206,4,1,3,3,4,3
1258,4,4,2,3,3,2
809,2,3,4,3,2,2
1369,4,2,4,3,2,3
271,4,3,3,3,2,3
744,1,1,3,3,3,3
1137,4,3,4,3,4,3
1281,3,3,1,3,4,3
734,4,2,3,3,2,3
730,3,4,3,3,3,3
39,3,3,4,3,4,3
74,2,3,1,4,4,2
1693,4,3,4,4,3,3
1480,1,3,4,3,3,3
549,1,3,1,3,4,1
1547,4,3,4,3,3,1
555,4,1,3,3,4,2
1358,4,3,4,3,3,2
1125,4,3,2,3,3,3
2057,2,3,1,3,2,3
571,3,3,4,3,3,2
479,4,3,4,3,2,3
1375,2,4,3,4,2,3
424,1,2,1,3,4,3
1484,3,3,2,3,2,3
132,2,3,2,3,3,4
647,1,3,3,3,4,3
380,1,3,4,3,1,3
1487,1,3,2,3,1,1
1997,1,2,3,3,4,3
1244,1,3,1,3,4,2
1428,4,3,1,3,2,3
1555,4,2,2,3,1,3
1243,3,2,4,3,2,2
995,2,3,4,3,1,3
832,1,2,3,3,4,3
650,2,3,1,3,3,1
1306,2,3,2,4,3,3
1950,1,3,4,4,1,2
1148,2,1,4,3,1,3
1627,3,2,3,3,4,3
2026,3,3,3,4,1,2
1106,4,3,4,3,2,4
1032,3,2,4,3,1,3
